Stop_ID	X_FRT	X_DRT
0	1	1
7	1	1
9	1	1
5	1	1
98	1	1
100	1	1
99	1	1
116	1	1
67	1	0
65	1	0
11	1	0
66	1	0
117	1	1
115	1	1
50	1	1
52	1	1
51	1	1
53	1	1
33	1	1
34	1	1
24	1	1
77	1	1
35	1	1
145	1	1
144	1	1
162	1	0
153	1	0
69	1	0
161	1	0
158	1	0
155	1	0
160	1	0
154	1	0
70	1	0
157	1	0
156	1	0
159	1	0
60	1	1
101	1	0
122	1	0
123	1	0
124	1	0
61	1	0
62	1	0
39	1	1
91	1	1
55	1	1
112	1	1
113	1	1
114	1	1
64	1	1
63	1	1
68	1	1
108	1	1
109	1	1
169	1	1
7	1	1
143	1	1
142	1	1
163	1	1
164	1	1
88	1	1
89	1	1
90	1	1
126	1	1
175	0	0
25	0	0
165	1	1
106	1	1
86	1	1
85	1	1
84	1	1
83	1	1
87	1	1
0	1	1
