Line_ID	Veh_ID	T_h	T_m
"01"	1	6	25
"01"	1	7	20
"01"	1	8	15
"01"	1	9	10
"01"	1	10	5
"01"	1	11	0
"01"	1	11	55
"01"	1	12	50
"01"	1	13	45
"01"	1	14	40
"01"	1	15	35
"01"	1	16	30
"01"	1	17	25
"01"	1	18	20
"01"	1	19	15
"01"	1	20	10
"02"	2	7	0
"02"	2	7	20
"02"	2	8	0
"02"	2	8	40
"02"	2	9	20
"02"	2	10	0
"02"	2	10	40
"02"	2	11	20
"02"	2	12	0
"02"	2	12	40
"02"	2	13	20
"02"	2	14	0
"03"	3	6	45
"03"	3	7	45
"03"	3	8	45
"03"	3	9	45
"03"	3	10	45
"03"	3	11	45
"03"	3	12	45
"03"	3	13	45
"04"	4	6	50
"04"	4	7	20
"04"	4	8	0
"04"	4	8	40
"04"	4	9	20
"04"	4	10	0
"04"	4	10	40
"04"	4	11	20
"04"	4	12	0
"04"	4	12	40
"04"	4	13	20
"04"	4	14	0
"04"	4	14	40
"04"	4	15	20
"04"	4	16	0
"04"	4	16	40
"04"	4	17	20
"04"	4	18	0
"04"	4	18	30
"04"	4	19	0
"04"	4	19	30
"04"	4	20	0
"05"	3	7	10
"05"	3	8	10
"05"	3	9	10
"05"	3	10	10
"05"	3	11	10
"05"	3	12	10
"05"	3	13	10
"05"	3	14	10
"06"	5	7	0
"06"	5	7	40
"06"	5	8	20
"06"	5	9	0
"06"	5	9	40
"06"	5	10	20
"06"	5	11	0
"06"	5	11	40
"06"	5	12	20
"06"	5	13	0
"06"	5	13	40
"06"	5	14	20
"P"	6	14	0
"P"	6	15	0
"P"	6	16	0
"P"	6	17	0
"P"	6	18	0
"P"	6	19	0
"P"	6	20	0
"P5"	3	15	0
"P5"	3	15	40
"P5"	3	16	20
"P5"	3	17	0
"P5"	3	17	40
"P5"	3	18	20
"P5"	3	19	0
"P2"	5	15	0
"P2"	5	15	40
"P2"	5	16	20
"P2"	5	17	0
"P2"	5	17	40
"P2"	5	18	20
"P2"	5	19	0
"P3"	2	15	0
"P3"	2	15	40
"P3"	2	16	20
"P3"	2	17	0
"P3"	2	17	40
"P3"	2	18	20
"P3"	2	19	0
