Line_ID	Veh_ID	T_h	T_m
"01"	1	7	10
"01"	1	8	10
"01"	1	9	10
"01"	1	10	10
"01"	1	11	10
"01"	1	12	10
"01"	1	13	10
"01"	1	14	10
"01"	1	15	10
"01"	1	16	10
"01"	1	17	10
"01"	1	18	10
"01"	1	19	10
"01"	1	20	10
"02"	2	7	20
"02"	2	8	0
"02"	2	8	40
"02"	2	9	20
"02"	2	10	0
"02"	2	10	40
"02"	2	11	20
"02"	2	12	0
"02"	2	12	40
"02"	2	13	20
"02"	2	14	0
"02"	2	14	40
"02"	2	15	20
"02"	2	16	0
"02"	2	16	40
"02"	2	17	20
"02"	2	18	0
"02"	2	18	40
"02"	2	19	20
"02"	2	20	0
"03"	3	7	45
"03"	3	8	45
"03"	3	9	45
"03"	3	10	45
"03"	3	11	45
"03"	3	12	45
"03"	3	13	45
"03"	3	14	45
"03"	3	15	45
"03"	3	16	45
"03"	3	17	45
"03"	3	18	45
"03"	3	19	45
"04"	4	6	50
"04"	4	7	20
"04"	4	8	0
"04"	4	8	40
"04"	4	9	20
"04"	4	10	0
"04"	4	10	40
"04"	4	11	20
"04"	4	12	0
"04"	4	12	40
"04"	4	13	20
"04"	4	14	0
"04"	4	14	40
"04"	4	15	20
"04"	4	16	0
"04"	4	16	40
"04"	4	17	20
"04"	4	18	0
"04"	4	18	40
"04"	4	19	20
"04"	4	20	0
"05"	3	7	10
"05"	3	8	10
"05"	3	9	10
"05"	3	10	10
"05"	3	11	10
"05"	3	12	10
"05"	3	13	10
"05"	3	14	10
"05"	3	15	10
"05"	3	16	10
"05"	3	17	10
"05"	3	18	10
"05"	3	19	10
"05"	3	20	10
"06H"	5	7	40
"06H"	5	8	20
"06H"	5	9	0
"06H"	5	9	40
"06H"	5	11	0
"06H"	5	12	20
"06H"	5	13	0
"06H"	5	13	40
"06H"	5	14	20
"06H"	5	15	0
"06H"	5	15	40
"06H"	5	16	20
"06H"	5	17	40
"06H"	5	18	20
"06H"	5	19	40
"06F"	5	10	20
"06F"	5	11	40
"06F"	5	17	0
"06F"	5	19	0
